x,y
115.1,1.07682e+06
115.2,-1.50518e+06
115.3,1.45004e+06
115.4,-926692
115.5,101577
115.6,760602
115.7,-1.38181e+06
115.8,1.56033e+06
115.9,-1.23626e+06
116,511571
116.1,381941
116.2,-1.15682e+06
116.3,1.5624e+06
116.4,-1.46589e+06
116.5,895851
116.6,-33794.4
116.7,-843602
116.8,1.45328e+06
116.9,-1.59714e+06
117,1.22635e+06
117.1,-457927
117.2,-462196
117.3,1.23788e+06
117.4,-1.61809e+06
117.5,1.4781e+06
117.6,-860434
117.7,-38028.4
117.8,928798
117.9,-1.5244e+06
118,1.63113e+06
118.1,-1.21206e+06
118.2,399763
118.3,545655
118.4,-1.31979e+06
118.5,1.67198e+06
118.6,-1.48644e+06
118.7,820323
118.8,113864
118.9,-1.01603e+06
119,1.59489e+06
119.1,-1.66204e+06
119.2,1.19323e+06
119.3,-337040
119.4,-632211
119.5,1.40233e+06
119.6,-1.72383e+06
119.7,1.49071e+06
119.8,-775409
119.9,-193670
120,1.10511e+06
120.1,-1.66451e+06
120.2,1.68963e+06
120.3,-1.16969e+06
120.4,269730
120.5,721741
120.6,-1.48527e+06
120.7,1.77335e+06
120.8,-1.49066e+06
120.9,725596
121,277389
121.1,-1.19584e+06
121.2,1.73299e+06
121.3,-1.71364e+06
121.4,1.14126e+06
121.5,-197819
121.6,-814107
121.7,1.56835e+06
121.8,-1.82027e+06
121.9,1.4861e+06
122,-670801
122.1,-364949
122.2,1.28803e+06
122.3,-1.80006e+06
122.4,1.7338e+06
122.5,-1.10781e+06
122.6,121309
122.7,909155
122.8,-1.65132e+06
122.9,1.86431e+06
123,-1.47682e+06
123.1,610950
123.2,456260
123.3,-1.38145e+06
123.4,1.86543e+06
123.5,-1.74988e+06
123.6,1.06918e+06
123.7,-40215.6
123.8,-1.00672e+06
123.9,1.73391e+06
124,-1.90519e+06
124.1,1.46261e+06
124.2,-545985
124.3,-551219
124.4,1.47587e+06
124.5,-1.92881e+06
124.6,1.76162e+06
124.7,-1.02526e+06
124.8,-45429.2
124.9,1.10661e+06
125,-1.81585e+06
125.1,1.94264e+06
125.2,-1.44327e+06
125.3,475862
125.4,649704
125.5,-1.57104e+06
125.6,1.98991e+06
125.7,-1.76877e+06
125.8,975916
125.9,135578
126,-1.20863e+06
126.1,1.89684e+06
126.2,-1.97636e+06
126.3,1.41862e+06
126.4,-400552
126.5,-751578
126.6,1.66669e+06
126.7,-2.04842e+06
126.8,1.77109e+06
126.9,-921047
127,-230165
127.1,1.31256e+06
127.2,-1.9766e+06
127.3,2.00607e+06
127.4,-1.38849e+06
127.5,320039
127.6,856687
127.7,-1.76256e+06
127.8,2.10405e+06
127.9,-1.76834e+06
128,860558
128.1,329110
128.2,-1.41817e+06
128.3,2.0548e+06
128.4,-2.0315e+06
128.5,1.3527e+06
128.6,-234325
128.7,-964858
128.8,1.85835e+06
128.9,-2.15648e+06
129,1.76029e+06
129.1,-794370
129.2,-432313
129.3,1.52522e+06
129.4,-2.13115e+06
129.5,2.05236e+06
129.6,-1.31109e+06
129.7,143430
129.8,1.0759e+06
